Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV
US NAVY NAVAL SUBMARINE BASE SAN DIEGO,140 SYLVESTER ROAD,SAN DIEGO,CA,92106,SAN DIEGO,CA3170024555,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0903989,,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000912521,"https://map22.epa.gov/cimc/latLong&params=32.721667,-117.233333"
PRC PATTERSON SITE,13331 NORTH HIGHWAY 33,PATTERSON,CA,95363,STANISLAUS,CAD083166728,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:CAD083166728,,https://echo.epa.gov/detailed-facility-report?fid=110000912601,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000912601,"https://map22.epa.gov/cimc/latLong&params=37.501055,-121.151643"
ALBEMARLE CORPORATION-SOUTH PLANT,2270 HWY 79 SOUTH OF MAGNOLIA,MAGNOLIA,AR,71753,COLUMBIA,ARD052528809,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ARD052528809,,https://echo.epa.gov/detailed-facility-report?fid=110000743508,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000743508,"https://map22.epa.gov/cimc/latLong&params=33.1756,-93.2169"
HUGHES AIRCRAFT CO FULLERTON BUSINESS UNIT,1901 W MALVERN AVE,FULLERTON,CA,92833,ORANGE,CAD063109243,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:CAD063109243,,https://echo.epa.gov/detailed-facility-report?fid=110000913423,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000913423,"https://map22.epa.gov/cimc/latLong&params=33.877143,-117.961906"
ROCKWOOL IND,600 OLD SMELTER ROAD,PUEBLO,CO,81003,PUEBLO,COD073405961,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:COD073405961,,https://echo.epa.gov/detailed-facility-report?fid=110000913520,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000913520,"https://map22.epa.gov/cimc/latLong&params=38.26352,-104.60044"
DYNO NOBEL TOOELE TEST SITE (IRECO),10 MILE PASS RD 6 MI S OF UT 73,FAIRFIELD,UT,84013,TOOELE,UTD980666721,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:UTD980666721,,https://echo.epa.gov/detailed-facility-report?fid=110000914119,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000914119,"https://map22.epa.gov/cimc/latLong&params=40.138889,-112.177778"
UTAH TEST & TRAINING RANGE,IMMEDIATELY SW OF WENDOVER,WENDOVER,UT,89883,ELKO,UT0570090001,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:UT0570090001,,https://echo.epa.gov/detailed-facility-report?fid=110000916206,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000916206,"https://map22.epa.gov/cimc/latLong&params=41.133611,-112.891111"
GENERAL DATA CO,400 CAPTAIN NEVILLE DR,WATERBURY,CT,06705,NEW HAVEN,CTD072142052,,https://www.epa.gov/hwcorrectiveactionsites/epa-rcra-id-CTD072142052,,https://echo.epa.gov/detailed-facility-report?fid=110000749076,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000749076,"https://map22.epa.gov/cimc/latLong&params=41.53887,-72.97531"
E I DUPONT DE NEMOURS - FLINT PLANT,1555 JAMES P COLE BLVD,FLINT,MI,48503,GENESEE,MID005512066,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:MID005512066,,https://echo.epa.gov/detailed-facility-report?fid=110000749673,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000749673,"https://map22.epa.gov/cimc/latLong&params=43.029825,-83.685147"
ARMTEC COUNTERMEASURES CO.,HIGHLAND IND PARK - BLDG M-25,EAST CAMDEN,AR,71701,CALHOUN,ARD980867873,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:ARD980867873,,https://echo.epa.gov/detailed-facility-report?fid=110000746364,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000746364,"https://map22.epa.gov/cimc/latLong&params=33.65111,-92.637368"
PEERLESS PHOTO PRODUCTS INC,ROUTE 25A & RANDALL ROAD,SHOREHAM,NY,11786,SUFFOLK,NYD002044139,,https://www.epa.gov/node/186501,,https://echo.epa.gov/detailed-facility-report?fid=110002041237,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002041237,"https://map22.epa.gov/cimc/latLong&params=40.947984,-72.89889"
DENVER FEDERAL CENTER- GSA,6TH AND KIPLING STREETS,LAKEWOOD,CO,80225,JEFFERSON,CO5670990105,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:CO5670990105,,https://echo.epa.gov/detailed-facility-report?fid=110002042361,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002042361,"https://map22.epa.gov/cimc/latLong&params=39.72265,-105.10962"
BOEING NORTH AMERICAN ROCKETDYNE,6633 CANOGA AVENUE,CANOGA PARK,CA,91303,LOS ANGELES,CAD074103771,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:CAD074103771,,https://echo.epa.gov/detailed-facility-report?fid=110002425199,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002425199,"https://map22.epa.gov/cimc/latLong&params=34.19097,-118.59748"
GTI CORP CIRCUITS DIV,300 SCHOOL STREET,LEESBURG,IN,46538,KOSCIUSKO,IND005130695,,https://cimc.epa.gov/ords/cimc/f?p=CIMC:RCRA:::::P14_RCRA_HANDLER_ID:IND005130695,,https://echo.epa.gov/detailed-facility-report?fid=110002043351,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110002043351,"https://map22.epa.gov/cimc/latLong&params=41.328326,-85.844852"
REX LUMBER CO,489 SULLIVAN AVE,SOUTH WINDSOR,CT,06074,HARTFORD,CTD005931456,,https://www.epa.gov/hwcorrectiveactionsites/epa-rcra-id-CTD005931456,,https://echo.epa.gov/detailed-facility-report?fid=110001734160,,,https://frs-public.epa.gov/ords/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110001734160,"https://map22.epa.gov/cimc/latLong&params=41.85191,-72.58194"
